"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2306","Larceny","200  Ross Park","7/27/2016",200,"ROSS PARK","200  ROSS PARK ",-76.1448106671951,43.0755508284971
"2307","Larceny","2800  Burnet Av","7/27/2016",2800,"BURNET AVE","2800  BURNET AV ",-76.0981996917681,43.0599006786976
"2308","Larceny","300  S  Salina St","7/27/2016",300,"S SALINA ST","300  S  SALINA ST ",-76.1522226474308,43.0486918177446
"2309","Larceny","500  Delaware St","7/27/2016",500,"DELAWARE ST","500  DELAWARE ST ",-76.1694062758089,43.0374000382902
"2310","Larceny","900  Hazelwood Av","7/27/2016",900,"HAZELWOOD AVE","900  HAZELWOOD AV ",-76.092215860817,43.0519799664507
"2311","Robbery","300  Prospect Av","7/27/2016",300,"PROSPECT AVE","300  PROSPECT AV ",-76.1492618842256,43.0557172517855
"2312","Vehicle theft","100  Lincoln Av","7/27/2016",100,"LINCOLN AVE","100  LINCOLN AV ",-76.1573877469174,43.0393679297547
"2314","Aggravated assault","500  S  State St","7/26/2016",500,"S STATE ST","500  S  STATE ST ",-76.1474772895148,43.0475183539934
"2315","Burglary","2300  Midland Av","7/26/2016",2300,"MIDLAND AVE","2300  MIDLAND AV ",-76.1482793965545,43.0173712462603
"2316","Burglary","500  Turtle St","7/26/2016",500,"TURTLE ST","500  TURTLE ST ",-76.1588636380424,43.0702902032558
"2317","Burglary","900  Stolp Av","7/26/2016",900,"STOLP AVE","900  STOLP AV ",-76.1782712165843,43.029951537575
"2318","Larceny","100  Linwill Ter","7/26/2016",100,"LINWILL TER","100  LINWILL TER ",-76.1167722048167,43.0720599559677
"2319","Larceny","100  Newbury Hollow Ln","7/26/2016",100,"NEWBURY HOLLOW LN","100  NEWBURY HOLLOW LN ",-76.1351349517814,43.013327360695
"2320","Larceny","1000  Madison St","7/26/2016",1000,"MADISON ST","1000  MADISON ST ",-76.1321449078932,43.0453270138265
"2321","Larceny","200  Elizabeth St","7/26/2016",200,"ELIZABETH ST","200  ELIZABETH ST ",-76.1418269247775,43.0267532901727
"2322","Larceny","800  Livingston Av","7/26/2016",800,"LIVINGSTON AVE","800  LIVINGSTON AV ",-76.1269181364312,43.0364130941272
"2323","Larceny","800  Sumner Av","7/26/2016",800,"SUMNER AVE","800  SUMNER AV ",-76.12566362853,43.0364835460614
"2324","Robbery","1700  Grant Blvd","7/26/2016",1700,"GRANT BLVD","1700  GRANT BLVD ",-76.139029640232,43.0722814871443
"2325","Robbery","2400  Grant Blvd","7/26/2016",2400,"GRANT BLVD","2400  GRANT BLVD ",-76.1486602695907,43.073784934026
"2326","Robbery","300  Woodbine Av","7/26/2016",300,"WOODBINE AVE","300  WOODBINE AV ",-76.1096337941566,43.063922892455
"2327","Aggravated assault","200  Baker Av","7/25/2016",200,"BAKER AVE","200  BAKER AV ",-76.1439417287553,43.0297781413693
"2328","Burglary","200  S  Avery Av","7/25/2016",200,"S AVERY AVE","200  S  AVERY AV ",-76.1894805153458,43.0441705105951
"2329","Burglary","300  Apple St","7/25/2016",300,"APPLE ST","300  APPLE ST ",-76.1763280285521,43.0511832674985
"2330","Burglary","400  Hawley Av","7/25/2016",400,"HAWLEY AVE","400  HAWLEY AV ",-76.1391224543407,43.0532804093081
"2331","Burglary","4700  S  Salina St","7/25/2016",4700,"S SALINA ST","4700  S  SALINA ST ",-76.1428149431084,43.0020694967977
"2332","Burglary","500  Seymour St","7/25/2016",500,"SEYMOUR ST","500  SEYMOUR ST ",-76.1670459327423,43.0421222638346
"2333","Burglary","900  Emerson Av","7/25/2016",900,"EMERSON AVE","900  EMERSON AV ",-76.1927878034384,43.058276147694
"2335","Larceny","100  Dell St","7/25/2016",100,"DELL ST","100  DELL ST ",-76.1211393666197,43.0418066653402
"2336","Larceny","100  Lafayette Rd","7/25/2016",100,"LAFAYETTE RD","100  LAFAYETTE RD ",-76.1291982498981,43.0012270241094
"2337","Larceny","2500  Erie Blvd E","7/25/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"2338","Larceny","400  Woodruff Av","7/25/2016",400,"WOODRUFF AVE","400  WOODRUFF AV ",-76.1380636468221,43.0723295114772
